"cell_id","category_label"
"268969","alveolar macrophage"
"277447","B cell"
"54960","T cell"
"228013","myeloid cell"
"14042","monocyte"
"280227","myeloid cell"
"266247","alveolar macrophage"
"25685","macrophage"
"105051","classical monocyte"
"298239","macrophage"
"115130","myeloid cell"
"133130","alveolar macrophage"
"17410","alveolar macrophage"
"219157","macrophage"
"108204","monocyte"
"61954","alveolar macrophage"
"134160","myeloid cell"
"41734","endothelial cell"
"18630","macrophage"
"201320","myeloid cell"
"174831","macrophage"
"126617","CD8-positive, alpha-beta T cell"
"138463","macrophage"
"36519","respiratory basal cell"
"175797","natural killer cell"
"29493","alveolar macrophage"
"32030","alveolar macrophage"
"264932","macrophage"
"96494","myeloid cell"
"197008","alveolar macrophage"
"160","alveolar macrophage"
"4140","alveolar macrophage"
"128503","alveolar macrophage"
"281839","myeloid cell"
"173798","alveolar macrophage"
"210287","myeloid cell"
"29162","alveolar macrophage"
"210602","macrophage"
"15577","alveolar macrophage"
"139951","alveolar macrophage"
"300844","B cell"
"189606","ciliated cell"
"269364","alveolar macrophage"
"215390","alveolar macrophage"
"19002","macrophage"
"281990","alveolar macrophage"
"55998","T cell"
"42228","macrophage"
"149745","B cell"
"102960","macrophage"
"88705","myeloid cell"
"115789","alveolar macrophage"
"16060","natural killer cell"
"148831","myeloid cell"
"345","alveolar macrophage"
"72746","alveolar macrophage"
"157888","alveolar macrophage"
"289231","type II pneumocyte"
"200219","alveolar macrophage"
"215136","myeloid cell"
"190131","alveolar macrophage"
"287664","fibroblast"
"100577","myeloid cell"
"230166","myeloid cell"
"31388","natural killer cell"
"199137","alveolar macrophage"
"95019","natural killer cell"
"275166","T cell"
"71589","alveolar macrophage"
"48453","activated CD8-positive, alpha-beta T cell"
"250733","macrophage"
"191138","alpha-beta T cell"
"258956","macrophage"
"60075","T cell"
"100835","type II pneumocyte"
"92822","T cell"
"285622","myeloid cell"
"70185","monocyte"
"155513","alveolar macrophage"
"212734","myeloid cell"
"245508","alveolar macrophage"
"23465","endothelial cell"
"176569","non-classical monocyte"
"266405","alveolar macrophage"
"236294","alveolar macrophage"
"264330","macrophage"
"174721","T cell"
"256581","alveolar macrophage"
"144051","myeloid cell"
"16936","club cell"
"95211","alveolar macrophage"
"181744","T cell"
"160400","alveolar macrophage"
"211551","macrophage"
"200867","alveolar macrophage"
"79175","alveolar macrophage"
"252347","macrophage"
"71644","alveolar macrophage"
"233983","non-classical monocyte"
"312854","capillary endothelial cell"
"212862","alveolar macrophage"
"68703","alveolar macrophage"
"44881","ciliated cell"
"179349","myeloid cell"
"128833","ciliated cell"
"89188","alveolar macrophage"
"281026","fibroblast"
"262257","alveolar macrophage"
"104946","alveolar macrophage"
"203529","dendritic cell"
"70556","alveolar macrophage"
"229930","lung ciliated cell"
"40803","alveolar macrophage"
"8259","alveolar macrophage"
"251659","alveolar macrophage"
"123793","myeloid cell"
"296655","alveolar macrophage"
"59699","alveolar macrophage"
"80514","B cell"
"226606","myeloid cell"
"123804","macrophage"
"120132","capillary endothelial cell"
"277885","macrophage"
"216841","T cell"
"75037","macrophage"
"241399","T cell"
"166268","myeloid cell"
"72252","myeloid cell"
"140059","alveolar macrophage"
"310842","endothelial cell of vascular tree"
"306294","natural killer cell"
"60462","alveolar macrophage"
"68413","alveolar macrophage"
"105830","myeloid cell"
"32596","alveolar macrophage"
"294794","T cell"
"29897","alveolar macrophage"
"264272","macrophage"
"45120","myeloid cell"
"117675","endothelial cell of vascular tree"
"41804","alveolar macrophage"
"134950","alveolar macrophage"
"161854","alveolar macrophage"
"208982","secretory cell"
"256584","myeloid cell"
"50991","alveolar macrophage"
"111679","mature NK T cell"
"288116","alveolar macrophage"
"296763","alveolar macrophage"
"145961","alveolar macrophage"
"228454","lung macrophage"
"242901","alveolar macrophage"
"216646","alveolar macrophage"
"174810","macrophage"
"304166","alveolar macrophage"
"88400","alveolar macrophage"
"180660","alveolar macrophage"
"245609","alveolar macrophage"
"238374","alveolar macrophage"
"217684","macrophage"
"252386","alveolar macrophage"
"98836","alveolar macrophage"
"108338","fibroblast"
"294130","natural killer cell"
"85612","T cell"
"214512","alveolar macrophage"
"189610","T cell"
"298209","endothelial cell of lymphatic vessel"
"96523","alveolar macrophage"
"92235","alveolar macrophage"
"166929","mature NK T cell"
"289215","alveolar macrophage"
"213393","alveolar macrophage"
"100262","basal cell of prostate epithelium"
"245815","natural killer cell"
"234726","myeloid cell"
"119353","fibroblast"
"266663","alveolar macrophage"
"244568","mast cell"
"206747","macrophage"
"167567","alveolar macrophage"
"204114","classical monocyte"
"106693","alveolar macrophage"
"81504","natural killer cell"
"272886","alveolar macrophage"
"83882","fibroblast"
"249754","alveolar macrophage"
"23738","alveolar macrophage"
"124644","myeloid cell"
"255115","alveolar macrophage"
"72176","alveolar macrophage"
"178022","natural killer cell"
"309630","T cell"
"167849","alveolar macrophage"
"41602","endothelial cell of lymphatic vessel"
"203897","alveolar macrophage"
"64378","endothelial cell of vascular tree"
"88567","type II pneumocyte"
"194860","natural killer cell"
"192995","alveolar macrophage"
"119009","myeloid cell"
"143654","myeloid cell"
"155601","ciliated cell"
"80535","alveolar macrophage"
"293512","T cell"
"74123","macrophage"
"159717","T cell"
"142907","alveolar macrophage"
"256938","macrophage"
"311306","macrophage"
"159322","fibroblast"
"142011","alveolar macrophage"
"254184","alveolar macrophage"
"74899","natural killer cell"
"285724","CD4-positive, alpha-beta cytotoxic T cell"
"152001","myeloid cell"
"244170","ciliated cell"
"81609","myeloid cell"
"38350","myeloid cell"
"214478","myeloid cell"
"7709","myeloid cell"
"305956","alveolar macrophage"
"267314","alveolar macrophage"
"213562","dendritic cell"
"183394","alveolar macrophage"
"51995","ciliated cell"
"130249","alveolar macrophage"
"214743","alveolar macrophage"
"179325","alveolar macrophage"
"41838","B cell"
"82155","alveolar macrophage"
"241171","goblet cell"
"3760","alveolar macrophage"
"64394","alveolar macrophage"
"275326","T cell"
"80283","alveolar macrophage"
"150725","B cell"
"132420","alveolar macrophage"
"94768","myeloid cell"
"240043","macrophage"
"117133","type II pneumocyte"
"176442","activated CD8-positive, alpha-beta T cell"
"235287","macrophage"
"301606","macrophage"
"178903","alveolar macrophage"
"40688","alveolar macrophage"
"78696","natural killer cell"
"261394","macrophage"
"192886","alveolar macrophage"
"247539","alveolar macrophage"
"21385","natural killer cell"
"178731","alveolar macrophage"
"290460","CD4-positive, alpha-beta T cell"
"107193","myeloid cell"
"25451","myeloid cell"
"223406","CD8-positive, alpha-beta T cell"
"56424","alveolar macrophage"
"123265","alveolar macrophage"
"58691","alveolar macrophage"
"126973","alveolar macrophage"
"282329","endothelial cell of lymphatic vessel"
"226152","tracheal goblet cell"
"122","endothelial cell of lymphatic vessel"
"196166","alveolar macrophage"
"283702","T cell"
"138872","alveolar macrophage"
"174973","macrophage"
"141763","vein endothelial cell"
"159767","macrophage"
"63201","non-classical monocyte"
"310142","endothelial cell"
"7449","myeloid cell"
"215201","alveolar macrophage"
"153771","alveolar macrophage"
"113387","myeloid cell"
"89839","alveolar macrophage"
"282585","vein endothelial cell"
"171127","myeloid cell"
"193569","alveolar macrophage"
"141691","alveolar macrophage"
"114264","alveolar macrophage"
"179097","myeloid cell"
"39038","alveolar macrophage"
"150253","alveolar macrophage"
"31834","alveolar macrophage"
"258419","alveolar macrophage"
"64513","alveolar macrophage"
"256617","T cell"
"201062","macrophage"
"1377","myeloid cell"
"36403","T cell"
"301311","alveolar macrophage"
"107856","alveolar macrophage"
"261656","macrophage"
"266972","alveolar macrophage"
"157032","macrophage"
"35124","respiratory basal cell"
"179965","alveolar macrophage"
"146273","macrophage"
"78308","natural killer cell"
"212888","macrophage"
"212437","myeloid cell"
"302264","endothelial cell of lymphatic vessel"
"3914","natural killer cell"
"65219","alveolar macrophage"
"211757","macrophage"
"95050","alveolar macrophage"
"262861","macrophage"
"21001","alveolar macrophage"
"229568","alveolar macrophage"
"128621","macrophage"
"258467","alveolar macrophage"
"9038","alveolar macrophage"
"173870","neuroendocrine cell"
"169688","endothelial cell of vascular tree"
"216493","club cell"
"61557","myeloid cell"
"156832","alveolar macrophage"
"39188","alveolar macrophage"
"76881","mature NK T cell"
"112791","macrophage"
"210472","secretory cell"
"42375","T cell"
"37124","pericyte"
"185427","alveolar macrophage"
"290337","CD4-positive, alpha-beta T cell"
"177442","macrophage"
"106734","myeloid cell"
"100563","classical monocyte"
"311603","alveolar macrophage"
"202928","T cell"
"113048","non-classical monocyte"
"97540","alveolar macrophage"
"237233","T cell"
"8129","macrophage"
"283155","endothelial cell"
"205953","alveolar macrophage"
"255784","respiratory basal cell"
"155791","alveolar macrophage"
"170572","alveolar macrophage"
"290561","alveolar macrophage"
"158856","alveolar macrophage"
"107019","myeloid cell"
"267261","myeloid cell"
"18170","macrophage"
"138822","alveolar macrophage"
"228694","macrophage"
"98474","myeloid cell"
"151902","CD4-positive, alpha-beta T cell"
"236396","alveolar macrophage"
"120225","classical monocyte"
"294411","T cell"
"271817","alveolar macrophage"
"197277","classical monocyte"
"311236","alveolar macrophage"
"88248","macrophage"
"80986","macrophage"
"48207","alveolar macrophage"
"271200","type II pneumocyte"
"77347","macrophage"
"160220","alveolar macrophage"
"232030","mature NK T cell"
"160120","plasmacytoid dendritic cell"
"186475","macrophage"
"80866","alveolar macrophage"
"88436","alveolar macrophage"
"176360","alveolar macrophage"
"270583","myeloid cell"
"288180","macrophage"
"300821","natural killer cell"
"154459","alveolar macrophage"
"71140","macrophage"
"189437","alveolar macrophage"
"175815","mature NK T cell"
"162052","alveolar macrophage"
"251276","alveolar macrophage"
"71206","alveolar macrophage"
"161216","alveolar macrophage"
"279782","alveolar macrophage"
"60487","T cell"
"294150","T cell"
"122431","alveolar macrophage"
"110251","myeloid cell"
"9932","alveolar macrophage"
"189639","T cell"
"156699","alveolar macrophage"
"238043","ciliated cell"
"178562","alveolar macrophage"
"279399","endothelial cell of vascular tree"
"210686","secretory cell"
"7051","alveolar macrophage"
"134375","alveolar macrophage"
"136782","macrophage"
"17682","macrophage"
"225424","macrophage"
"223235","T cell"
"101819","fibroblast"
"26225","myeloid cell"
"277187","alveolar macrophage"
"123260","alveolar macrophage"
"21636","macrophage"
"278599","T cell"
"115821","alveolar macrophage"
"277120","macrophage"
"236490","alveolar macrophage"
"121472","alveolar macrophage"
"22497","alveolar macrophage"
"37638","endothelial cell of lymphatic vessel"
"27871","endothelial cell of vascular tree"
"235538","ciliated cell"
"177576","myeloid cell"
"58939","alveolar macrophage"
"297718","monocyte"
"111087","myeloid cell"
"296679","alveolar macrophage"
"113444","myeloid cell"
"3350","alveolar macrophage"
"75839","alveolar macrophage"
"275159","myeloid cell"
"20791","macrophage"
"288428","alveolar macrophage"
"252331","alveolar macrophage"
"107449","vascular associated smooth muscle cell"
"119907","natural killer cell"
"161849","alveolar macrophage"
"158616","alveolar macrophage"
"308860","macrophage"
"221212","endothelial cell"
"137340","alveolar macrophage"
"229869","alveolar macrophage"
"8168","alveolar macrophage"
"163228","epithelial cell"
"39268","alveolar macrophage"
"209900","macrophage"
"124333","T cell"
"267727","fibroblast"
"40176","myeloid cell"
"119211","alveolar macrophage"
"167073","alveolar macrophage"
"303640","alveolar macrophage"
"155282","myeloid cell"
"256245","macrophage"
"266976","myeloid cell"
"302695","macrophage"
"184793","type II pneumocyte"
"69923","alveolar macrophage"
"201318","T cell"
"186037","monocyte"
"177057","T cell"
"230790","alveolar macrophage"
"106879","myeloid cell"
"291780","T cell"
"110037","fibroblast"
"104113","macrophage"
"193311","type II pneumocyte"
"85842","alveolar macrophage"
"76672","alveolar macrophage"
"300343","B cell"
"137487","alveolar macrophage"
"121972","macrophage"
"48154","alveolar macrophage"
"160452","alveolar macrophage"
"154985","macrophage"
"183415","alveolar macrophage"
"81596","macrophage"
"74848","alveolar macrophage"
"65416","alveolar macrophage"
"153854","myeloid cell"
"5043","alveolar macrophage"
"289356","alveolar macrophage"
"10726","myeloid cell"
"95000","myeloid cell"
"94386","macrophage"
"194959","T cell"
"202902","alveolar macrophage"
"135939","myeloid cell"
"62692","T cell"
"77809","CD16-positive, CD56-dim natural killer cell, human"
"110985","T cell"
"50611","fibroblast"
"144225","myeloid cell"
"210491","myeloid cell"
"196103","alveolar macrophage"
"168410","alveolar macrophage"
"31302","alveolar macrophage"
"263550","alveolar macrophage"
"240239","natural killer cell"
"259860","macrophage"
"90103","alveolar macrophage"
"186008","alveolar macrophage"
"118418","fibroblast"
"195149","T cell"
"23139","alveolar macrophage"
"106609","T cell"
"250456","alveolar macrophage"
"103784","fibroblast"
"205490","alveolar macrophage"
"232756","alveolar macrophage"
"56542","alveolar macrophage"
"59523","natural killer cell"
"5542","alveolar macrophage"
"99267","respiratory basal cell"
"188323","T cell"
"124380","macrophage"
"256376","alveolar macrophage"
"162903","alveolar macrophage"
"12409","endothelial cell"
"308686","T cell"
"190125","myeloid cell"
"198466","alveolar macrophage"
"192972","myeloid cell"
"227945","macrophage"
"84851","myeloid cell"
"49705","B cell"
"175759","T cell"
"143286","alveolar macrophage"
"65132","alveolar macrophage"
"252665","macrophage"
"183395","alveolar macrophage"
"263971","macrophage"
"595","endothelial cell"
"4254","myeloid cell"
"186809","alveolar macrophage"
"55548","T cell"
"152457","T cell"
"278121","myeloid cell"
"300577","alveolar macrophage"
"287051","alveolar macrophage"
"203048","alveolar macrophage"
"183778","macrophage"
"874","myeloid cell"
"167469","alveolar macrophage"
"246144","fibroblast"
"68254","macrophage"
"190827","macrophage"
"143269","myeloid cell"
"144318","alveolar macrophage"
"201194","alveolar macrophage"
"50928","alveolar macrophage"
"108859","myeloid cell"
"291383","alveolar macrophage"
"75641","macrophage"
"16731","mature NK T cell"
"148312","T cell"
"124992","B cell"
"230284","B cell"
"167914","alveolar macrophage"
"101221","alveolar macrophage"
"231608","classical monocyte"
"66742","myeloid cell"
"297050","monocyte"
"259448","T cell"
"77480","alveolar macrophage"
"111083","myeloid cell"
"151321","alveolar macrophage"
"19122","macrophage"
"142920","alveolar macrophage"
"153565","club cell"
"178407","alveolar macrophage"
"197562","natural killer cell"
"211490","alveolar macrophage"
"247745","alveolar macrophage"
"70455","macrophage"
"230543","lymphocyte"
"104570","alveolar macrophage"
"173088","natural killer cell"
"293900","myeloid cell"
"262782","macrophage"
"133662","macrophage"
"36830","vascular associated smooth muscle cell"
"12173","T cell"
"185704","alveolar macrophage"
"309907","natural killer cell"
"267264","T cell"
"101838","alveolar macrophage"
"290","alveolar macrophage"
"260135","macrophage"
"242182","macrophage"
"241797","alveolar macrophage"
"93860","macrophage"
"171591","alveolar macrophage"
"26717","myeloid cell"
"290767","monocyte"
"14227","macrophage"
"75242","T cell"
"86999","alveolar macrophage"
"37987","alveolar macrophage"
"74186","macrophage"
"176116","macrophage"
"58988","natural killer cell"
"39068","alveolar macrophage"
"256686","macrophage"
"107312","fibroblast"
"234328","alveolar macrophage"
"292244","mature NK T cell"
"201345","CD8-positive, alpha-beta T cell"
"84551","myeloid cell"
"37168","endothelial cell"
"219776","natural killer cell"
"48630","macrophage"
"24394","type II pneumocyte"
"48794","alveolar macrophage"
"225296","macrophage"
"235729","alveolar macrophage"
"123345","alveolar macrophage"
"205569","B cell"
"237505","macrophage"
"5076","alveolar macrophage"
"22545","macrophage"
"48221","macrophage"
"164083","alveolar macrophage"
"100754","macrophage"
"241686","alveolar macrophage"
"270797","respiratory basal cell"
"182032","alveolar macrophage"
"270768","alpha-beta T cell"
"95783","T cell"
"263844","alveolar macrophage"
"261351","macrophage"
"303197","macrophage"
"228315","neutrophil"
"231820","macrophage"
"106818","fibroblast"
"262513","myeloid cell"
"66462","alveolar macrophage"
"150440","B cell"
"305790","alveolar macrophage"
"229128","macrophage"
"213918","macrophage"
"299575","T cell"
"288295","alveolar macrophage"
"293141","alveolar macrophage"
"19100","alveolar macrophage"
"10762","T cell"
"243040","macrophage"
"138571","alveolar macrophage"
"249571","alveolar macrophage"
"17301","fibroblast"
"85889","alveolar macrophage"
"244678","myeloid cell"
"229042","T cell"
"149162","alveolar macrophage"
"250844","myeloid cell"
"213914","macrophage"
"276450","B cell"
"255938","macrophage"
"4506","alveolar macrophage"
"238246","macrophage"
"136405","alveolar macrophage"
"259482","macrophage"
"134218","alveolar macrophage"
"199669","myeloid cell"
